miRNA,10,21,28,12,22,29,14, 22b,30,15,23,32,17,24,33,18,25,34,19,26, k104_1,20,27,35,41,50,58,36,43,51,59,37,44,52,61,38,45,53,66, 38b,46,54,69,39,47,55,71, 39b, 47b,56, k104_2,40,49,57,63,77,86,97,83,64,78,87,98,65,79,88,99,72,80,89,102,73,81,92,103,74,82,93, K104_3a,75,84,95, k104_3b,76,85,96
hsa-mir-29a-3p ,4210.3,3555.7,1660,3604.8,2621.1,2238.4,4226.9,1491,3460,3360.3,2559.5,2991.4,7331.1,2698.3,4795.2,3021.2,3205.2,4244.9,5623.5,2976.2,3843.2,2362.6,1738.6,3532.1,3407,1585.8,1408.6,1806.9,3123.7,3024.1,1880,2788,2637.3,2590.8,2215.8,3325,2342.5,3911.8,1726.5,1571.8,3814.9,1365.2,2601.5,2406.5,2711.7,958.3,1430.8,3134,2267,2068.1,3181.1,2494.6,2079.5,2295.8,2283.3,1897.1,1980.7,2807.5,3371.8,2986.5,1726.8,2843.3,3043,2035.2,1966.4,3425.6,1605.5,2822,2574.7,1881.5,1904.7,1902.2,2960.4,3327.9,3979,2276.9,1565.5,2973.4,5260.4,1675.9,2009.6,3696.1,4024.7,1693.4,2006.3,3069.5
hsa-mir-29c-3p ,3152,2492,1181.2,2603.1,2203.7,1702.2,3147.6,1314,2324.6,2635.1,1515.3,1818.6,4211.6,1652.5,4298.9,2221.6,2178.8,2539.2,3184.7,2261.9,2779.1,2020.9,1386.9,2952.6,2204.4,1431,1249.3,1563.1,2801,2641.5,1634.3,2184.3,2564.5,2382.6,1819.1,2435.8,1858.5,3344.4,1459.8,1443.5,2725.1,1216,2257.3,1974,2326.3,1087.2,1165,2433.5,2110.5,1691.5,3061.6,2022.3,1895.5,1974.8,2199,1900.8,1655.4,2612.6,2420.9,2373.2,1780.5,2086.4,2262.9,1794.6,1594.8,2327.9,1355.3,2087.2,1852.9,1623.9,1434.5,1542.1,2182.7,2631,3218.4,1755.2,1269.8,2634.4,3176.2,1514.6,1716.4,2683.5,3334.4,978,1690.5,2636.6
hsa-mir-30d-5p ,855,595.6,250.5,390.3,670.2,289.7,655.3,445.6,689.6,607.1,407.2,793.3,979.5,512.2,925.9,539.2,537.1,561.9,729.4,489.3,833,742.3,464.9,424.6,613.6,334.4,210.9,181,433.5,394.5,167.9,417.8,304.7,334.3,378.6,572.4,328.3,245.3,509.4,401.4,549.3,196.6,339.9,226.9,604.7,216,233.9,574.5,467.8,236,309.5,371.2,282.8,243.9,172.1,392.6,196.9,459,353.5,238.4,256.2,263.3,485.5,289,265.8,537.3,347.7,312.8,329.5,494.8,331.6,221.1,468.3,634.3,921.4,391.8,331.6,396.1,1024.5,179,246.7,509.9,663.5,395.1,425.4,697.7
hsa-mir-31-3p ,2.2,7.6,1.2,1,1.1,0.8,4.4,1,7.4,5.4,3.5,3.9,3.3,9.8,1.5,5,0.9,9,2.5,5.1,1.1,1,0.5,1.4,0.8,2.6,1.1,1,1.3,2.2,1.1,0.7,0.8,4.7,0.6,0.9,0.8,1.4,0.9,1.7,1.3,0.9,0.4,4,1,0.9,0.7,3.3,1.3,0.4,20.3,0.8,1.2,11.3,1,1.5,1,0.9,1.4,3.5,1.4,1.5,3.8,1.8,2.4,1.6,0.7,2.7,3,4.3,1.5,0.9,2.1,1.8,1,1.5,0.9,3.8,1.5,0.4,2.8,1.1,8.8,1.6,1.3,2.3
hsa-mir-31-5p ,7.6,0.5,2.3,0.8,16.9,0.9,5.7,0.4,13.3,6.2,0.5,1.6,10.4,0.3,1,10.8,0.9,21.2,21.4,1.1,13.6,0.6,2.2,1.5,1.5,3,1.5,7.9,4.3,1.2,0.9,0.6,21.1,1.7,0.3,6.1,0.8,31.9,0.9,0.7,0.8,23.1,0.4,0.7,0.9,0.2,8.4,1.9,0.6,0.6,0.6,0.3,0.1,10.5,1.8,2.2,1.4,3.8,11.6,2.5,8.4,1,1.1,0.4,7.1,3,0.8,7.6,9.2,3.9,2.1,5.8,4.1,3.8,2,16.5,5.4,1.4,11.8,1.1,3.4,9.1,9.3,9.1,8.5,4.3
hsa-mir-33a-5p ,138.2,110.6,145.3,68.3,92.4,215,137.4,60.5,80.5,81,100.5,51.5,130.3,166.5,120.7,88.5,124.2,44.3,95.3,67.8,110.9,138.3,238.5,64.9,176.3,30.1,166,37.5,68.3,151.1,53,131.4,74.3,29.3,26.4,162.9,120,170.9,130.5,90.5,85.5,101.5,125.8,39.6,65.1,57.7,52.2,63.3,22,152.6,110,142,63.8,250.6,145.6,66.3,110.9,88.8,96,78.6,114.2,218.3,209.6,126.8,168.8,206.2,169.9,362.2,225.7,227.6,155.7,110.2,153.9,129,85.9,300.8,162.6,115.4,170.5,163.6,203,151.9,173.2,73.4,230.5,154.7
hsa-mir-34a-3p ,3,10,2.5,2,9.7,4.5,12.2,1,1.4,5.5,2.2,11.5,18.8,1.9,7.1,8,1.3,6,4.6,2.1,1.2,5.5,3,10.8,5.4,3.9,2,1,2.3,15.7,1.6,2,1.4,2.3,1.1,2.1,2,2.5,1.5,2.7,2,1.4,1.6,1.5,1.1,1.4,1.3,11.9,2.2,1,1,1.5,2.5,2.2,2.6,2.3,1.8,3.8,1.2,7.1,4.3,1.5,1.6,2.9,2.7,3,7.6,2.2,2.2,4,8.5,2.5,10.8,2.6,8.1,1.2,1.6,6.6,3.4,1.4,1.5,2.2,1.2,2.5,3.4,2.8
hsa-mir-34a-5p ,290.4,114.5,82.8,166.5,80.5,169.9,364.1,12.1,152.1,127.6,272.4,233,1060.5,281.1,179,249.3,74.2,441.9,493.2,351.9,73.6,75.4,85.1,176.8,389.7,165.4,3,104.9,120.5,517.7,101.1,125.2,55.3,147.1,61.4,109.4,79.6,340.4,69.9,117.6,246,88.2,267.6,128.6,88.2,57,126.3,203.4,50.7,206.1,160.7,96.1,70.3,107,62.5,94.9,88.7,137.7,295.1,96,75.6,138.3,159.6,238.1,57.9,180.5,91.7,82.8,117.5,83.8,85.5,192.2,139.4,154.5,219.5,44,117.7,83.7,126.1,57,34.9,167,158.3,91.2,57.9,69.7
hsa-mir-93-5p ,4883.3,11848.5,3553.2,5504.1,7261.8,4090.7,11897.6,4339.8,8273.6,7236.1,5071.9,8333.7,6074.9,5394.6,13813.3,6682.1,5053,6261.6,10116,5573.5,7243.2,8602.4,3232.2,5366,4197.9,5421.7,8412.2,4809.1,7182.9,7273,7316.3,4953.9,4276.3,5915.5,7313.3,5275.3,3706.9,4987.6,6170.7,5883.9,7793.9,4440.4,8559.1,4773.5,5329.2,4671.6,6560.7,7677.8,6781,5317.7,6348.9,5925.2,8344,6227,3927,4436.8,4212.4,3939,6825,5981.2,4029.4,3922.7,4426.9,5226.1,5340.9,6410.1,3066,5251.6,4324,2829.4,3819.4,3822.4,4891.4,5271.1,9357.9,4369.9,4571.4,4700.9,6787.4,4381.5,4971,5280.9,6901,5039.9,5751.6,5460.3
hsa-mir-101-3p ,2.3,0.9,1,7.1,3.4,4.2,4.3,5.4,3.4,5.5,0.5,1,4.7,1.3,14.4,4.5,3.3,1,3.7,5.7,4.2,2.1,2.5,1.6,3,0.1,0.1,2.4,14.2,1.8,0.5,5.5,10.7,2.3,4.5,1.7,9.8,4.3,4.8,1.5,15.5,3.2,3.3,5.7,6.6,2.8,2.4,3.6,19.3,0.1,4.3,3.3,6.5,1.9,8.4,3.2,0.9,9.2,5.7,0.2,1.6,1.9,2.2,3.5,7.7,5.5,2,1,1.5,2.9,0.3,2,3.6,4.4,1.5,3.1,3.3,4.5,4.6,1.8,0.8,1.7,1.3,2.5,3.5,6
